Year,Product Type,Product/Title
1969,Car,"Chrysler ""Scuba Diver""[4]"
1970,Car,"Pontiac""Humbler"""
1975,Security,"Master Lock""Rifle"""
1976,Copy,"Xerox""Monks"""
1979,Soft drink,"Coca-Cola""Hey Kid, Catch!"""
1981,Camera,"Polaroid""Now with a Flash"""
1982,Computer,"RadioShack""Color Computer"""
1982,Restaurant,"McDonald's""Hopscotch"""
1984,Computer,"Apple Inc.""1984"""
1984,Computer,"Atari""Get Started"""
1984,Beer,"Miller Lite""Train"""
1984,Security,"Master Lock""The Doubters"
1988,Food,Doritos tortilla chips
1989,Beer,Budweiser
1990,Car,"Nissan""Turbocharged Dream"""
1990,Credit card,"American Express""The Race"""
1992,Soft Drink,"Pepsi""Cindy Crawford"""
1993,Restaurant,"McDonald's""Showdown"""
1993,Footwear,"Nike""Hare Jordan"""
1993,Clothing,"Lee""Inhale"""
1993,Clothing,"Lee""The Date"""
1993,Car,"Subaru Impreza""Teaser"""
1993,Car,"Honda Prelude""Slingshot"""
1994,Car,Jeep
1994,Beer,Budweiser
1994,Car,Jeep Grand Cherokee
1994,Clothing,No Fear
1996,Film,Independence Day
1996,Restaurant,"McDonald's""Baby Swing"""
1997,Car,"Nissan""Pigeons"""
1997,Film,Dante's Peak
1997,Film,The Lost World: Jurassic Park
1997,Film,The Saint
1997,Food,"Eggo""Grandma"""
1997,Food,"Lays""Nuzzle and Nibble"""
1997,Food,"Lays""Party"""
1997,Soft drink,"Pepsi""Darth Vader"""
1998,Beer,"Bud Light""Chicken Pool"""
1998,Beer,"Bud Light""Shopping"""
1998,Beer,"Budweiser""Master Plan"""
1998,Car,"Pontiac""ACME Pontiac"""
1998,Computer,"Intel""Mystery"""
1998,Credit card,"Visa""Elephant"""
1998,Film,Armageddon
1998,Film,Lost in Space
1998,Film,Mercury Rising
1998,Film,Sphere
1998,Film,The Mask of Zorro
1998,Film,The Wedding Singer
1998,Food,"Doritos""Laundromat"""
1998,Food,"Hormel""Bold Innovations"""
1998,Food,"Tabasco Sauce""Mosquito"""
1998,Mail,"FedEx""We Apologize"""
1998,Restaurant,"Pizza Hut""Elvis"""
1998,Shoes,"Hilfiger""Have Some Fun"""
1998,Soft drink,"Pepsi""Mosquito"""
1998,Soft drink,"Pepsi""Goose"""
1998,Sports,"NFL""Anthony"""
1998,Tire,"Michelin""Drill"""
1998,Website,"Autobytel""Pajamas"""
1999,Beer,"Bud Light""Paper or Plastic"""
1999,Beer,"Budweiser""Dalmatians"""
1999,Beer,"Budweiser""Lashing"""
1999,Beer,"Budweiser""Lobster"""
1999,Credit card,"MasterCard""Toons"""
1999,Computer,"Apple Inc.""HAL"""
1999,Film,Austin Powers: The Spy Who Shagged Me
1999,Film,The Corruptor
1999,Film,Ed TVLife
1999,Film,8MM
1999,Film,The Matrix
1999,Film,"Mulan""Groundhog Day"""
1999,Film,The Mummy
1999,Film,October Sky
1999,Film,True Crime
1999,Film,Wild Wild West
1999,Food,"Doritos""Smokin"""
1999,Mail,"FedEx""Stanley Cup"""
1999,Restaurant,"Pizza Hut""New Yorker"""
1999,Sports,"WWF""HQ"""
1999,Website,"Buy.com""Aliens"""
1999,Website,HotJobs.com
1999,Website,"Monster.com""When I Grow Up"""
2000,Beer,"Bud Light""Elevator"""
2000,Beer,"Bud Light""Cat"""
2000,Beer,"Budweiser""Photo Shoot"""
2000,Beer,"Budweiser""Which Game?"""
2000,Beer,"Budweiser""Rex's Motivation"""
2000,Candy,"M&M's""Sexy Girl"""
2000,Credit card,"Visa""Swimmers"""
2000,Film,Gladiator
2000,Film,Mission to Mars
2000,Film,Titan A.E.
2000,Mail,"FedEx""Combat Rangers"""
2000,Mail,"FedEx""The Lollipop Guild"""
2000,TV,"Oxygen""Baby Girl Power"""
2000,Website,"AutoTrader.com""I Need a Car"""
2000,Website,"Britannica.com[12]""Untitled"""
2000,Website,"Computer.com""Mike and Mike"""
